Date/Time,Depth water [m],Sal,Temp [°C],pH,O2 [µmol/l],Chl a [µg/l],[PO4]3- [µmol/l],Si(OH)4 [µmol/l],[NH4]+ [µmol/l],[NO2]- [µmol/l],[NO3]- [µmol/l],DON [µmol/l],DOP [µmol/l],SPM [mg/l]
1984-01-05T10:03,1,28.802,3.200,8.13,235.000,4.67,2.88,17.05,1.55,0.28,57.94,,,66.40
1984-01-09T10:04,1,27.513,0.300,8.12,228.438,,2.29,22.50,2.44,0.33,57.87,,,56.00
1984-01-19T10:02,1,28.410,3.100,8.21,238.438,9.00,2.68,21.62,2.44,0.37,64.06,,,64.60
1984-01-30T10:05,1,27.593,2.000,8.27,260.938,2.50,2.73,26.54,2.54,0.45,95.46,,,41.10
1984-02-02T09:45,1,26.580,1.200,8.11,256.250,5.90,5.13,26.54,3.13,0.93,114.20,,,115.20
1984-02-06T09:05,1,27.845,3.200,8.09,244.063,,2.44,23.27,2.89,0.35,85.32,,,51.40
1984-03-08T09:03,1,27.798,4.200,,249.688,2.80,1.11,21.62,10.71,0.72,57.08,,,51.20
1984-03-12T10:55,1,28.154,0.700,,253.750,5.82,3.27,24.78,3.58,1.01,87.95,,,27.70
1984-03-15T09:02,1,27.700,1.100,,250.000,3.08,2.44,29.35,3.58,0.59,81.07,,,34.80
1984-03-19T09:05,1,27.107,1.000,,249.375,5.82,2.24,23.37,4.97,0.10,41.00,,,56.80
1984-03-22T09:15,1,28.082,1.900,,252.500,5.71,2.39,21.79,2.99,0.14,45.61,,,41.70
1984-03-26T10:25,1,28.532,3.500,,256.875,5.41,2.04,19.33,5.02,0.67,47.69,,,24.60
1984-03-29T09:12,1,27.462,3.400,,245.625,3.38,1.70,22.85,5.56,1.13,58.34,,,24.00
1984-04-05T07:45,1,28.815,4.000,,237.500,8.20,1.85,19.51,1.75,0.82,63.20,,,38.00
1984-04-09T08:01,1,29.212,5.000,,251.250,10.58,2.19,12.83,2.00,0.88,80.11,,,11.11
1984-04-17T00:00,1,28.472,4.000,,238.750,5.45,1.85,19.33,2.69,0.82,37.75,,,27.87
1984-04-30T14:04,1,29.788,9.800,,235.938,5.20,3.61,1.93,0.26,0.71,23.23,,,9.73
1984-05-03T08:55,1,29.371,9.100,8.25,212.813,8.23,1.11,2.64,1.95,0.63,33.13,,,14.95
1984-05-07T15:00,1,29.264,9.400,8.23,212.813,6.58,0.72,2.11,1.05,0.67,23.80,,,
1984-05-17T09:25,1,30.235,12.500,8.41,229.063,15.40,0.53,4.39,0.81,0.10,1.58,,,9.90
1984-05-21T10:55,1,30.674,14.800,8.40,203.438,4.85,0.33,2.81,0.66,0.04,0.17,,,12.00
1984-05-24T07:15,1,30.628,13.000,8.13,194.063,8.90,0.48,2.81,0.81,0.14,0.61,,,12.20
1984-05-28T09:55,1,30.051,13.700,8.16,194.063,8.20,0.61,5.45,0.91,0.14,0.54,,,14.30
1984-06-04T09:15,1,30.623,13.800,8.24,168.125,4.85,0.37,6.33,0.87,0.14,0.59,,,11.40
1984-06-07T11:12,1,30.676,15.300,8.27,167.500,9.00,0.37,6.85,1.15,0.34,0.64,,,11.53
1984-06-21T10:00,1,31.143,15.700,8.35,150.938,5.18,0.66,5.45,0.56,0.10,0.66,,,11.00
1984-06-25T08:04,1,31.275,11.400,8.34,178.438,8.20,1.51,12.65,0.66,0.10,0.61,,,12.40
1984-06-28T09:15,1,31.185,12.800,8.30,180.625,11.15,1.79,14.41,1.10,0.12,0.85,,,30.10
1984-07-02T10:55,1,31.402,12.500,8.28,166.250,8.20,0.94,3.87,1.85,0.24,1.59,,,45.70
1984-07-05T09:01,1,31.765,11.800,8.39,184.688,5.40,0.75,9.67,1.00,0.16,1.03,,,10.67
1984-07-09T11:00,1,31.885,16.000,8.38,188.125,5.47,0.70,3.69,0.51,0.10,0.91,,,
1984-07-12T10:55,1,31.460,17.500,8.35,175.938,5.20,0.66,2.81,0.51,0.24,0.99,,,15.87
1984-07-16T09:15,1,31.703,15.500,8.35,148.750,5.20,0.80,2.81,1.70,0.20,1.21,,,21.60
1984-07-19T09:05,1,31.676,16.500,8.35,167.500,5.30,1.27,2.64,1.40,0.30,1.81,,,10.50
