Datum;Uhrzeit;SECCI;Temperatur;Salinität;NO2;NO3;NOx
;;Meter;°C;;µmol/l;µmol/l;µmol/l
02.01.2004;7:34;0.6;6.840808333333333;32;1.01017;10.206627083333332;14.83
05.01.2004;14:10;0.8;6.578052083333334;32;1.04265;11.003496875;16.29
06.01.2004;9:05;1.0;6.492697916666668;32;1.05147;11.265275;17.63
07.01.2004;8:30;1.2;6.407609375;32;1.0596599999999998;11.522875;16.56
08.01.2004;9:00;1.4;6.322786458333333;32;1.06722;11.776296875;15.49
09.01.2004;8:41;1.3;6.238229166666667;32;1.0741500000000002;12.001390625;14.42
12.01.2004;8:35;1.14;6.0031510416666665;32;1.091;12.53503125;15.01
13.01.2004;7:55;0.96;5.930989583333333;32;1.09525;12.70346875;13.11
14.01.2004;8:10;0.78;5.8657048611111104;32;1.0995;12.87190625;13.416666666666666
15.01.2004;8:45;0.6;5.8072968750000005;32;1.10375;13.04034375;13.723333333333333
16.01.2004;8:15;1.2;5.755765625;32;1.108;13.20878125;14.03
19.01.2004;8:35;1.0;5.603078472222222;32;1.12075;13.71409375;11.25
20.01.2004;9:00;0.9333333333333332;5.555360416666666;32;1.125;13.88253125;14.29
21.01.2004;7:50;0.8666666666666667;5.509548958333333;32;1.1304666666666667;14.050968749999996;14.079999999999998
22.01.2004;8:15;0.8;5.464548541666666;32;1.13715;14.21940625;13.87
23.01.2004;8:35;0.9;5.420359166666667;32;1.14505;14.38784375;13.66
27.01.2004;7:50;0.9333333333333332;5.2281104166666665;32;1.18071;15.633625;11.28
28.01.2004;8:25;0.8666666666666667;5.140772916666666;32;1.19064;16.088078125;12.366666666666664
29.01.2004;7:25;0.8;5.056782291666666;32;1.2116;16.599734375;13.453333333333331
30.01.2004;8:05;1.1;4.976138541666666;32;1.24359;17.16859375;14.54
02.02.2004;7:50;1.0;4.7523760416666665;32;1.32078;19.268265625;23.95
04.02.2004;7:20;1.0;4.611647916666666;32;1.35859;20.7358375;15.703333333333331
05.02.2004;8:05;1.0;4.5466654166666665;32;1.3758;21.429690625;16.14666666666667
06.02.2004;7:30;1.0;4.486347291666666;32;1.39188;22.096921875;16.59
09.02.2004;14:30;1.0;4.333379166666667;32;1.440252;23.628084375;18.78
10.02.2004;8:55;1.3333333333333333;4.319088541666667;32;1.4564200000000005;24.152498125;21.52
11.02.2004;8:25;1.6666666666666663;4.336832291666666;32;1.47261;24.76936;23.776666666666667
12.02.2004;7:25;2.0;4.353035416666667;32;1.4878300000000002;25.478670000000005;26.03333333333333
13.02.2004;7:10;2.3;4.367697916666667;32;1.50208;26.223225;28.29
16.02.2004;8:07;2.8;4.401875;32;1.54496;28.45815;18.66
17.02.2004;8:00;2.8666666666666667;4.4092416666666665;32;1.55808;29.1535125;18.13
18.02.2004;7:40;2.933333333333333;4.417836111111111;32;1.5722240000000005;29.834087499999995;19.19333333333333
19.02.2004;6:42;3.0;4.4276583333333335;32;1.587392;30.499875;20.256666666666668
20.02.2004;8:35;3.5;4.4387083333333335;32;1.6007679999999995;31.150875;21.32
23.02.2004;8:59;2.5;4.485609444444444;32;1.61952;32.68993;34.39
24.02.2004;8:30;3.1666666666666665;4.505575;32;1.60448;33.26484;55.11
25.02.2004;8:30;3.833333333333333;4.527675;32;1.5957066666666668;33.89567999999999;54.013333333333335
26.02.2004;8:20;4.5;4.56635;32;1.5932;34.582449999999994;52.91666666666666
27.02.2004;7:00;3.0;4.6216;32;1.5969600000000002;35.376949999999994;51.82
02.03.2004;8:05;2.4;4.770775;32;1.5776000000000003;38.9970525;21.04
04.03.2004;7:20;2.333333333333333;4.833816666666666;32;1.544704;40.168625;21.57333333333333
08.03.2004;8:15;3.5;4.910486666666666;32;1.4448;41.37988749999999;20.1
09.03.2004;7:00;3.7;4.9293;32;1.41568;41.501775;17.97
10.03.2004;6:55;3.8;4.9514;32;1.3888;41.5286375;18.27
11.03.2004;6:55;3.9;4.938720833333333;32;1.36416;41.460475;19.67333333333333
16.03.2004;6:30;5.0;4.7041916666666665;32;1.2346560000000002;41.56690999999999;24.86
17.03.2004;7:45;3.5666666666666664;4.666083333333333;32;1.208288;41.56663;32.14
18.03.2004;6:35;2.1333333333333333;4.6403;32;1.181216;41.5352;28.23333333333333
19.03.2004;7:35;0.7;4.6216;32;1.15344;41.47791666666666;24.326666666666668
22.03.2004;14:25;0.9;4.620844444444445;32;1.05088;40.4313875;25.39
23.03.2004;8:05;1.1;4.656166666666667;32;1.0057600000000002;39.9979125;34.99
24.03.2004;7:50;1.4333333333333331;4.711605555555556;32;0.9679733333333334;39.590775;31.33
25.03.2004;7:30;1.7666666666666666;4.764045833333334;32;0.93752;39.209975;26.48333333333333
26.03.2004;8:00;2.1;4.813487499999999;32;0.9144;38.834775;21.636666666666663
29.03.2004;7:05;3.5;5.002541666666667;32;0.8936000000000001;37.7320125;16.85
30.03.2004;7:30;3.6;5.084141666666667;32;0.90096;37.473975;17.31
31.03.2004;6:55;3.6666666666666665;5.167725;32;0.9097333333333334;37.3078125;15.17
01.04.2004;7:20;3.733333333333333;5.251520833333334;32;0.9199200000000002;37.233525;16.223333333333333
05.04.2004;7:15;3.0;5.617044444444444;32;0.96272;35.856485;15.34
06.04.2004;7:05;3.1;5.73;32;0.969248;35.47528249999999;24.18
07.04.2004;7:00;3.2;5.844608333333333;32;0.9704640000000002;35.2132375;20.58
08.04.2004;4:35;3.3;5.956737499999999;32;0.966368;35.07035;20.62
14.04.2004;6:00;4.366666666666666;6.7186916666666665;32;0.9184800000000002;36.0696875;19.6
15.04.2004;5:30;4.433333333333334;6.863474999999999;32;0.91544;36.260525;21.8
16.04.2004;5:30;4.5;7.011091666666666;32;0.9128;36.46819166666667;24.0
19.04.2004;5:20;2.4;7.422775;32;0.8944;36.61685416666666;26.25
20.04.2004;5:00;2.4;7.5524;32;0.88048;36.5203125;22.62
21.04.2004;5:05;3.4000000000000004;7.666772222222223;32;0.86096;36.352225;21.466
22.04.2004;5:05;4.4;7.767037878787879;32;0.83792;36.11259166666667;20.312
23.04.2004;5:55;5.4;7.8531969696969695;32;0.8113600000000001;35.92936666666667;19.158
26.04.2004;10:30;2.5;8.165726515151515;32;0.7194327272727272;35.3096625;22.33
27.04.2004;6:05;2.8;8.287920454545453;32;0.6892945454545454;34.80173295454545;15.11
28.04.2004;6:05;3.0666666666666664;8.41536893939394;32;0.6588218181818183;34.14086136363636;19.03
29.04.2004;6:35;3.333333333333333;8.54807196969697;32;0.6280145454545455;33.32704772727272;18.085
30.04.2004;6:10;3.6;8.686029545454545;32;0.5968727272727273;32.55567954545454;17.14
03.05.2004;6:20;3.0;9.134344444444444;32;0.51536;30.427035227272725;15.12
04.05.2004;7:15;3.2;9.284983333333331;32;0.4968;29.68702386363636;13.08
06.05.2004;6:50;3.4;9.5747625;32;0.46136;28.1267;10.013333333333334
07.05.2004;6:55;3.5;9.725354166666666;32;0.44448;27.403775000000003;9.646666666666668
10.05.2004;6:30;3.5;10.207894444444443;32;0.39648;25.45095;11.04
11.05.2004;7:00;3.2;10.35655;32;0.38256;24.7279375;12.284
12.05.2004;6:45;3.6666666666666665;10.496233333333333;32;0.3711466666666667;23.933845833333333;13.528
13.05.2004;6:30;4.133333333333333;10.636625;32;0.36224;23.068675;14.772
14.05.2004;6:35;4.6;10.777536111111113;32;0.35584;22.132425;16.016000000000002
17.05.2004;6:45;4.85;11.200127777777778;32;0.34224;20.273829545454543;13.36
18.05.2004;7:45;4.2;11.3366;32;0.3368;19.786876136363635;11.8
19.05.2004;7:00;4.3;11.470333333333334;32;0.3308945454545455;19.30621477272728;12.19
21.05.2004;7:40;4.5;11.7388625;32;0.3176872727272727;18.363768181818184;9.323333333333332
24.05.2004;6:55;5.3;12.127447727272726;32;0.2876654545454546;16.704163636363635;8.16
25.05.2004;6:37;6.5;12.238746212121212;32;0.2744872727272727;15.999542045454549;8.34
26.05.2004;6:35;6.25;12.337196818181818;32;0.2614836363636363;15.1860625;8.52
27.05.2004;6:37;6.0;12.422799545454543;32;0.2486545454545454;14.263724999999996;8.42
28.05.2004;6:45;5.75;12.495554393939395;32;0.236576;13.230175;8.32
01.06.2004;12:20;4.8;12.7108375;32;0.1928;9.5415075;9.09
02.06.2004;7:15;5.033333333333333;12.779805555555557;32;0.1822;8.839739999999999;9.64
03.06.2004;6:20;5.266666666666667;12.861216666666666;32;0.17156;8.2334;10.13
04.06.2004;7:00;5.5;12.955070833333332;32;0.16088;7.549850000000001;10.62
07.06.2004;7:00;5.5;13.242583333333332;32;0.12612;5.133712500000001;10.91
08.06.2004;7:50;6.0;13.333391666666666;32;0.1128;4.3379875000000006;10.33
09.06.2004;6:40;6.066666666666666;13.435013888888887;32;0.0998399999999999;3.5635250000000003;15.96
10.06.2004;5:45;6.133333333333334;13.543058333333336;32;0.0872;2.810325;15.94
11.06.2004;6:20;6.2;13.657525;32;0.07488;2.127241666666666;15.92
14.06.2004;7:03;5.5;13.982953571428572;32;0.04704;0.5560624999999999;13.8
15.06.2004;6:50;5.0;14.087544047619046;32;0.04128;0.279475;19.19
16.06.2004;6:50;4.933333333333334;14.193713095238094;32;0.03728;0.1386875;10.78
17.06.2004;6:50;4.866666666666666;14.301460714285714;32;0.03504;0.1336999999999999;11.306666666666668
18.06.2004;5:25;4.8;14.410786904761904;32;0.03456;0.13055;11.833333333333332
21.06.2004;7:25;4.0;14.700144444444444;32;0.0384;0.12473;9.58
22.06.2004;7:00;4.8;14.766633333333337;32;0.039104;0.1214099999999999;16.13
23.06.2004;6:30;4.833333333333333;14.825991666666669;32;0.0393386666666666;0.1174;14.71
24.06.2004;6:30;4.866666666666667;14.887333333333334;32;0.039104;0.1127;13.053333333333336
25.06.2004;6:30;4.9;14.952726666666669;32;0.0384;0.10745;11.396666666666668
28.06.2004;7:00;1.5;15.18025277777778;32;0.0354;0.0882;7.71
29.06.2004;9:55;1.5;15.275924999999996;32;0.03448;0.0809375;8.21
30.06.2004;6:14;3.6666666666666665;15.365104166666663;32;0.0338933333333333;0.0734125;11.96
01.07.2004;6:20;5.833333333333333;15.438345833333337;32;0.03364;0.065625;11.043333333333337
05.07.2004;7:00;8.0;15.586104166666669;32;0.03808;0.0440124999999999;4.62
06.07.2004;6:55;5.5;15.607991666666663;32;0.04096;0.040075;4.46
07.07.2004;7:00;4.533333333333333;15.628108333333332;32;0.0432533333333333;0.0361374999999999;6.07
08.07.2004;6:55;3.5666666666666664;15.646383333333333;32;0.04496;0.0322;6.13
09.07.2004;6:50;2.6;15.662816666666668;32;0.04608;0.0282;6.19
12.07.2004;7:00;2.2;15.723827777777778;32;0.04752;0.121;5.93
13.07.2004;6:45;2.6;15.743283333333334;32;0.04848;0.1662749999999999;6.6
14.07.2004;6:50;2.8000000000000003;15.760121428571429;32;0.0490133333333333;0.208425;5.58
15.07.2004;6:47;3.0;15.770068452380952;32;0.04912;0.24745;4.8566666666666665
19.07.2004;12:30;5.5;15.738183333333334;32;0.04944;0.3264625;1.97
20.07.2004;6:47;5.2;15.70815;32;0.05008;0.329;3.01
21.07.2004;6:55;5.3;15.70012222222222;32;0.05096;0.3306625;2.92
22.07.2004;6:45;5.4;15.714099999999998;32;0.0520799999999999;0.33145;2.6566666666666667
23.07.2004;7:45;5.5;15.750083333333334;32;0.053344;0.3319166666666666;2.393333333333333
26.07.2004;7:45;5.5;15.922066666666664;32;0.05712;0.3413375;2.04
27.07.2004;7:30;3.8;15.982983333333332;32;0.05808;0.3471125;2.01
28.07.2004;7:50;3.275;16.03643888888889;32;0.05816;0.3541999999999999;1.69
29.07.2004;7:10;2.75;16.091547222222225;32;0.05736;0.3626;1.84
30.07.2004;7:30;2.225;16.148308333333333;32;0.05568;0.3547833333333333;1.99
02.08.2004;12:15;3.5;16.385174999999997;32;0.04816;0.4723249999999999;2.69
03.08.2004;7:10;2.5;16.486325;32;0.0451733333333333;0.5385916666666666;2.71
04.08.2004;7:00;3.5;16.584405555555556;32;0.04224;0.5981500000000001;3.26
05.08.2004;6:20;4.5;16.679416666666665;32;0.03936;0.651;2.78
