Datum;Uhrzeit;SECCI;Temperatur;Salinität;NO2;NO3;NOx
;;Meter;°C;;µmol/l;µmol/l;µmol/l
01.01.1962;NA;NA;NA;NA;NA;NA;NA
02.01.1962;9:00;NA;4.6;NA;NA;NA;NA
03.01.1962;9:00;NA;5.1;NA;NA;NA;NA
04.01.1962;9:00;NA;4.3;NA;NA;NA;NA
05.01.1962;9:00;NA;5.1;NA;NA;NA;NA
06.01.1962;9:00;NA;5.2;NA;NA;NA;NA
07.01.1962;NA;NA;NA;NA;NA;NA;NA
08.01.1962;9:00;NA;5.1;NA;NA;NA;NA
09.01.1962;9:00;NA;5.2;NA;NA;NA;NA
10.01.1962;NA;NA;NA;NA;NA;NA;NA
11.01.1962;NA;NA;NA;NA;NA;NA;NA
12.01.1962;NA;NA;NA;NA;NA;NA;NA
13.01.1962;NA;NA;NA;NA;NA;NA;NA
14.01.1962;NA;NA;NA;NA;NA;NA;NA
15.01.1962;10:30;NA;5.1;33.48;1.52;7.28;NA
16.01.1962;NA;NA;NA;NA;NA;NA;NA
17.01.1962;9:40;NA;5.1;33.554;1.52;7.78;NA
18.01.1962;9:00;NA;5.2;NA;NA;NA;NA
19.01.1962;10:05;NA;5.0;33.56;1.51;7.85;NA
20.01.1962;NA;NA;NA;NA;NA;NA;NA
21.01.1962;NA;NA;NA;NA;NA;NA;NA
22.01.1962;9:15;NA;5.1;33.446;1.52;8.5;NA
23.01.1962;NA;NA;NA;NA;NA;NA;NA
24.01.1962;9:40;NA;4.5;32.861;1.43;10.92;NA
25.01.1962;9:00;NA;4.4;NA;NA;NA;NA
26.01.1962;9:55;NA;4.4;32.589;1.44;12.14;NA
27.01.1962;9:00;NA;4.5;NA;NA;NA;NA
28.01.1962;NA;NA;NA;NA;NA;NA;NA
29.01.1962;9:00;NA;3.5;31.034;1.62;18.85;NA
30.01.1962;9:00;NA;3.2;NA;NA;NA;NA
31.01.1962;9:05;NA;3.1;31.338;1.54;18.21;NA
01.02.1962;NA;NA;NA;NA;NA;NA;NA
02.02.1962;NA;NA;NA;NA;NA;NA;NA
03.02.1962;NA;NA;NA;NA;NA;NA;NA
04.02.1962;NA;NA;NA;NA;NA;NA;NA
05.02.1962;NA;NA;NA;NA;NA;NA;NA
06.02.1962;9:15;NA;4.1;33.0;1.2;11.0;NA
07.02.1962;NA;NA;NA;NA;NA;NA;NA
08.02.1962;9:40;NA;4.1;32.571;1.3;12.71;NA
09.02.1962;9:00;NA;3.7;NA;NA;NA;NA
10.02.1962;9:15;NA;3.9;31.99;1.4;15.42;NA
11.02.1962;NA;NA;NA;NA;NA;NA;NA
12.02.1962;9:15;NA;3.6;30.078;1.58;21.42;NA
13.02.1962;NA;NA;NA;NA;NA;NA;NA
14.02.1962;NA;NA;NA;NA;NA;NA;NA
15.02.1962;9:45;NA;3.1;29.538;1.01;26.21;NA
16.02.1962;NA;NA;NA;NA;NA;NA;NA
17.02.1962;NA;NA;NA;NA;NA;NA;NA
18.02.1962;NA;NA;NA;NA;NA;NA;NA
19.02.1962;9:00;NA;3.3;28.898;2.15;24.5;NA
20.02.1962;9:00;NA;3.5;NA;NA;NA;NA
21.02.1962;9:10;NA;3.5;29.825;1.92;24.57;NA
22.02.1962;9:00;NA;3.3;NA;NA;NA;NA
23.02.1962;9:35;NA;2.9;29.579;1.9;26.85;NA
24.02.1962;NA;NA;NA;NA;NA;NA;NA
25.02.1962;NA;NA;NA;NA;NA;NA;NA
26.02.1962;NA;NA;NA;NA;NA;NA;NA
27.02.1962;NA;NA;NA;NA;NA;NA;NA
28.02.1962;9:30;NA;2.8;31.283;1.12;19.85;NA
01.03.1962;NA;NA;NA;NA;NA;NA;NA
02.03.1962;9:05;NA;2.8;31.509;0.94;18.71;NA
03.03.1962;9:00;NA;2.9;NA;NA;NA;NA
04.03.1962;NA;NA;NA;NA;NA;NA;NA
05.03.1962;9:30;NA;2.9;31.045;0.77;17.71;NA
06.03.1962;9:00;NA;2.5;NA;NA;NA;NA
07.03.1962;8:45;NA;2.9;31.759;0.82;17.64;NA
08.03.1962;9:00;NA;2.6;NA;NA;NA;NA
09.03.1962;NA;NA;NA;NA;NA;NA;NA
10.03.1962;9:00;NA;3.1;32.023;0.8;16.57;NA
11.03.1962;NA;NA;NA;NA;NA;NA;NA
12.03.1962;NA;NA;NA;NA;NA;NA;NA
13.03.1962;9:35;NA;2.2;30.77;0.99;21.5;NA
14.03.1962;NA;NA;NA;NA;NA;NA;NA
15.03.1962;9:25;NA;2.1;30.124;1.17;24.07;NA
16.03.1962;9:00;NA;2.3;NA;NA;NA;NA
17.03.1962;9:00;NA;2.5;29.946;1.22;25.57;NA
18.03.1962;NA;NA;NA;NA;NA;NA;NA
19.03.1962;NA;NA;NA;NA;NA;NA;NA
20.03.1962;9:00;NA;3.0;29.415;1.12;26.14;NA
21.03.1962;NA;NA;NA;NA;NA;NA;NA
22.03.1962;9:35;NA;3.0;30.203;1.04;24.21;NA
23.03.1962;NA;NA;NA;NA;NA;NA;NA
24.03.1962;9:45;NA;3.1;30.558;0.95;24.64;NA
25.03.1962;NA;NA;NA;NA;NA;NA;NA
26.03.1962;9:55;NA;3.0;29.865;1.13;26.5;NA
27.03.1962;NA;NA;NA;NA;NA;NA;NA
28.03.1962;9:15;NA;3.4;30.559;0.95;22.85;NA
29.03.1962;NA;NA;NA;NA;NA;NA;NA
30.03.1962;9:35;NA;3.7;30.886;0.88;22.43;NA
31.03.1962;NA;NA;NA;NA;NA;NA;NA
01.04.1962;NA;NA;NA;NA;NA;NA;NA
02.04.1962;10:05;NA;3.9;31.75;NA;NA;NA
03.04.1962;NA;NA;NA;NA;NA;NA;NA
04.04.1962;8:55;NA;3.9;31.811;NA;NA;NA
05.04.1962;9:00;NA;4.1;NA;NA;NA;NA
06.04.1962;9:05;NA;4.1;32.037;NA;NA;NA
07.04.1962;NA;NA;NA;NA;NA;NA;NA
08.04.1962;NA;NA;NA;NA;NA;NA;NA
09.04.1962;9:00;NA;4.1;NA;NA;NA;NA
10.04.1962;9:00;NA;4.2;NA;NA;NA;NA
11.04.1962;9:55;NA;4.5;32.27;0.64;16.71;NA
12.04.1962;NA;NA;NA;NA;NA;NA;NA
13.04.1962;NA;NA;NA;NA;NA;NA;NA
14.04.1962;NA;NA;NA;NA;NA;NA;NA
15.04.1962;NA;NA;NA;NA;NA;NA;NA
16.04.1962;NA;NA;NA;NA;NA;NA;NA
17.04.1962;8:10;NA;5.1;29.328;1.48;25.28;NA
18.04.1962;9:00;NA;4.9;NA;NA;NA;NA
19.04.1962;9:05;NA;5.0;32.11;0.92;16.28;NA
20.04.1962;NA;NA;NA;NA;NA;NA;NA
21.04.1962;NA;NA;NA;NA;NA;NA;NA
22.04.1962;NA;NA;NA;NA;NA;NA;NA
23.04.1962;NA;NA;NA;NA;NA;NA;NA
24.04.1962;10:05;NA;6.5;29.779;1.33;23.35;NA
25.04.1962;9:00;NA;6.2;NA;NA;NA;NA
26.04.1962;9:50;NA;6.6;29.126;1.67;28.28;NA
27.04.1962;9:00;NA;6.3;NA;NA;NA;NA
28.04.1962;NA;NA;NA;NA;NA;NA;NA
29.04.1962;NA;NA;NA;NA;NA;NA;NA
30.04.1962;14:40;NA;7.0;30.235;1.29;23.78;NA
01.05.1962;NA;NA;NA;NA;NA;NA;NA
02.05.1962;9:00;NA;6.8;30.4;1.32;24.0;NA
03.05.1962;9:00;NA;6.9;NA;NA;NA;NA
04.05.1962;10:10;NA;6.6;30.883;1.17;22.78;NA
05.05.1962;9:00;NA;6.8;NA;NA;NA;NA
06.05.1962;NA;NA;NA;NA;NA;NA;NA
07.05.1962;9:00;NA;7.6;NA;NA;NA;NA
08.05.1962;8:15;NA;8.0;29.6;1.49;24.85;NA
09.05.1962;8:10;NA;8.4;29.713;1.4;23.78;NA
10.05.1962;8:15;NA;8.0;29.119;1.45;30.21;NA
11.05.1962;9:00;NA;7.9;29.681;1.32;27.71;NA
12.05.1962;NA;NA;NA;NA;NA;NA;NA
13.05.1962;NA;NA;NA;NA;NA;NA;NA
14.05.1962;9:20;NA;8.7;27.648;1.15;34.42;NA
15.05.1962;9:15;NA;8.3;29.091;0.96;28.21;NA
16.05.1962;8:15;NA;7.8;30.375;0.92;22.42;NA
17.05.1962;8:20;NA;8.6;29.496;0.9;24.0;NA
18.05.1962;8:20;NA;8.6;30.231;0.87;20.5;NA
19.05.1962;8:10;NA;8.1;30.701;0.77;19.42;NA
20.05.1962;NA;NA;NA;NA;NA;NA;NA
21.05.1962;8:20;NA;8.8;31.22;0.76;19.42;NA
22.05.1962;9:00;NA;8.6;NA;NA;NA;NA
23.05.1962;9:15;NA;8.5;31.808;0.01;18.85;NA
24.05.1962;8:50;NA;8.6;31.949;0.4;18.5;NA
25.05.1962;8:50;NA;8.8;31.594;0.57;19.42;NA
26.05.1962;NA;NA;NA;NA;NA;NA;NA
27.05.1962;NA;NA;NA;NA;NA;NA;NA
28.05.1962;9:00;NA;9.5;NA;NA;NA;NA
29.05.1962;8:30;NA;9.9;30.384;0.35;17.42;NA
30.05.1962;8:45;NA;10.0;30.839;0.35;14.42;NA
31.05.1962;NA;NA;NA;NA;NA;NA;NA
01.06.1962;9:25;NA;8.8;32.123;0.12;12.21;NA
02.06.1962;9:00;NA;9.3;31.421;0.33;14.57;NA
03.06.1962;NA;NA;NA;NA;NA;NA;NA
04.06.1962;9:20;NA;10.1;30.462;0.28;17.28;NA
05.06.1962;9:45;NA;10.2;30.71;0.32;15.35;NA
06.06.1962;8:45;NA;11.2;29.766;0.3;16.92;NA
07.06.1962;9:00;NA;12.6;NA;NA;NA;NA
08.06.1962;9:10;NA;12.6;28.444;0.34;19.21;NA
09.06.1962;NA;NA;NA;NA;NA;NA;NA
10.06.1962;NA;NA;NA;NA;NA;NA;NA
11.06.1962;NA;NA;NA;NA;NA;NA;NA
12.06.1962;8:55;NA;11.0;30.394;0.27;14.64;NA
13.06.1962;9:00;NA;12.1;NA;NA;NA;NA
14.06.1962;8:50;NA;12.8;29.319;0.32;14.28;NA
15.06.1962;9:00;NA;12.8;NA;NA;NA;NA
16.06.1962;9:50;NA;12.8;30.361;0.25;12.28;NA
17.06.1962;NA;NA;NA;NA;NA;NA;NA
18.06.1962;9:00;NA;13.2;29.697;0.3;11.71;NA
19.06.1962;9:00;NA;14.2;NA;NA;NA;NA
20.06.1962;9:15;NA;12.3;30.847;0.27;9.64;NA
21.06.1962;9:00;NA;13.4;NA;NA;NA;NA
22.06.1962;9:05;NA;13.6;30.038;0.27;9.78;NA
23.06.1962;NA;NA;NA;NA;NA;NA;NA
24.06.1962;NA;NA;NA;NA;NA;NA;NA
25.06.1962;NA;NA;NA;NA;NA;NA;NA
26.06.1962;8:45;NA;12.8;31.223;0.3;8.64;NA
